Name,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,PPR,PosRank
Keenan Reynolds,SEA,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,161
Cooper Rush,DAL,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,68
Alonzo Russell,NYG,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,224
Mark Sanchez,WAS,QB,32,2,1,19,35,138,0,3,1,8,8,0,0,0,0,,0,,0.3,64
Matt Schaub,ATL,QB,37,3,0,5,7,20,0,0,1,0,0,0,1,1,-7,-7,0,,1.1,66
Mason Schreck,CIN,,25,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,119
Boston Scott,PHI,,23,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,157
Da'Mari Scott,BUF,,23,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,221
Cam Sims,WAS,,22,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,235
Matthew Slater,NWE,,33,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,214
Nate Solder,NYG,,30,16,16,0,0,0,0,0,0,0,,0,0,0,0,,0,,,133
Brandon Tate,NOR,,31,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,211
Mike Thomas,LAR,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,238
Danny Vitale,GNB,RB,25,5,0,0,0,0,0,0,0,0,,0,2,1,2,2,0,,1.2,152
Clive Walford,NYJ,,27,1,1,0,0,0,0,0,0,0,,0,0,0,0,,0,,,120
Mike Wallace,PHI,,32,2,2,0,0,0,0,0,0,0,,0,3,0,0,,0,,,240
Brandon Weeden,HOU,QB,35,1,0,0,0,0,0,0,1,-1,-1,0,0,0,0,,0,,-0.1,70
Markus Wheaton,PHI,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,222
Cole Wick,SFO,,25,5,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,128
Jonathan Williams,NOR,RB,24,3,0,0,0,0,0,0,3,0,0,0,1,1,1,1,0,,1.1,153
Deon Yelder,KAN,,23,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,125
